,name,distance,moving_time,total_elevation_gain,sport_type,id,start_date_local,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_heartrate,max_heartrate,elev_high,elev_low,average_watts,kilojoules,device_watts,max_watts,weighted_average_watts,minutes_moving,hour_activity,day_of_week,week_of_year,month,year
46,Rodaje con unos cambios. ,8.1,2306,65.5,Run,8225910967,08-12-2022,"[40.641465838998556, -3.1578656751662493]","[40.63849973492324, -3.1630665622651577]",12.64,27.04,80.8,41.0,152.6,181.0,736.2,692.6,,,,,,38.43,20,Thursday,49,12,2022
47,Bike Time Tri y nada más!!! ,14.01,3945,193.3,Run,8205246424,04-12-2022,"[40.63844919204712, -3.162893308326602]","[40.63833821564913, -3.1629049591720104]",12.78,23.84,83.5,41.0,145.7,170.0,738.8,692.5,,,,,,65.75,9,Sunday,48,12,2022
48,Enfriamiento series ,2.38,689,3.6,Run,8201101634,03-12-2022,"[40.5957224406302, -3.1084698624908924]","[40.59492766857147, -3.109605275094509]",12.45,15.26,83.4,41.0,145.0,159.0,917.1,913.4,,,,,,11.48,12,Saturday,48,12,2022
49,2*1800,4.35,1092,6.0,Run,8201100993,03-12-2022,"[40.59631001204252, -3.1077909283339977]","[40.59474368579686, -3.109974581748247]",14.35,21.91,82.5,41.0,161.2,185.0,919.5,913.4,,,,,,18.2,11,Saturday,48,12,2022
50,Calentamiento ,3.46,976,6.0,Run,8200872513,03-12-2022,"[40.595680782571435, -3.1085591297596693]","[40.595802906900644, -3.108261739835143]",12.77,18.23,83.3,41.0,145.5,158.0,919.5,913.4,,,,,,16.27,11,Saturday,48,12,2022
51,Post media probando Hoka,2.76,695,18.7,Run,8194400816,01-12-2022,[],[],14.28,20.04,83.2,41.0,153.0,171.0,735.2,708.6,,,,,,11.58,18,Thursday,48,12,2022
52,Media Maratón Donosti 2022,21.52,5142,34.6,Run,8194401012,27-11-2022,"[43.3206682652235, -1.984395794570446]","[43.321806443855166, -1.9845344312489033]",15.07,27.55,83.8,41.0,172.8,187.0,17.3,7.3,,,,,,85.7,9,Sunday,47,11,2022
53,Calentamiento Media Maratón Donosti,2.28,730,2.7,Run,8194400514,27-11-2022,[],[],11.24,22.22,85.2,41.0,136.9,169.0,14.5,9.9,,,,,,12.17,8,Sunday,47,11,2022
54,Rodaje tranqui con progresivos ,6.73,1877,78.4,Run,8165991978,25-11-2022,"[40.63816839829087, -3.1636282335966825]","[40.638459753245115, -3.1630052905529737]",12.9,40.93,81.6,41.0,146.8,174.0,715.4,685.5,,,,,,31.28,12,Friday,47,11,2022
55,Carrera a la hora del almuerzo,5.59,1545,60.2,Run,8157133404,23-11-2022,"[40.63845036551356, -3.1630671489983797]","[40.63824308104813, -3.162810830399394]",13.02,27.95,81.0,41.0,148.7,171.0,737.7,691.7,,,,,,25.75,12,Wednesday,47,11,2022
